"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"19.083333";"14.005268";"0.322732";"1.068274";"177.833333";"0.275331";"0";"0.000000"
"3.708333";"192.411873";"0.022229";"0.165341";"30.458333";"0.068537";"0";"0.000000"
"41.500000";"0.851833";"0.811584";"1.523137";"337.291667";"0.538352";"0";"0.000000"
"38.583333";"1.168294";"0.804175";"1.506747";"344.416667";"0.528291";"0";"0.000000"
"31.708333";"1.972330";"0.702068";"1.367548";"319.458333";"0.490530";"0";"0.000000"
"23.750000";"5.072507";"0.584650";"1.300611";"269.208333";"0.427557";"0";"0.000000"
"22.125000";"7.407659";"0.515297";"1.220750";"243.958333";"0.371094";"0";"0.000000"
"19.375000";"12.922557";"0.341126";"1.094265";"185.041667";"0.285038";"0";"0.000000"
"37.708333";"1.293916";"0.808777";"1.578448";"338.666667";"0.489583";"0";"0.000000"
"27.250000";"2.993088";"0.673438";"1.334885";"300.208333";"0.480469";"0";"0.000000"
"3.750000";"134.126199";"0.040845";"0.236043";"40.000000";"0.078835";"0";"0.000000"
"38.041667";"1.298334";"0.806054";"1.598289";"338.583333";"0.483428";"0";"0.000000"
"24.458333";"6.869245";"0.494219";"1.277783";"253.333333";"0.366832";"0";"0.000000"
"37.750000";"1.601355";"0.788721";"1.596903";"328.291667";"0.468040";"0";"0.000000"
"23.291667";"4.699032";"0.620457";"1.287869";"281.458333";"0.451113";"0";"0.000000"
"18.458333";"12.187842";"0.365678";"1.067943";"196.166667";"0.309541";"0";"0.000000"
"16.916667";"13.276609";"0.325242";"1.031200";"193.791667";"0.329072";"0";"0.000000"
"19.750000";"12.742559";"0.341907";"1.096158";"187.041667";"0.291548";"0";"0.000000"
"30.958333";"1.995716";"0.676891";"1.311671";"325.416667";"0.511837";"0";"0.000000"
"24.333333";"6.346865";"0.532039";"1.260778";"258.041667";"0.391098";"0";"0.000000"
"31.833333";"2.001743";"0.698509";"1.385332";"319.458333";"0.481771";"0";"0.000000"
"25.458333";"3.536304";"0.649469";"1.298970";"290.875000";"0.476326";"0";"0.000000"
"38.166667";"1.570411";"0.806471";"1.628446";"330.666667";"0.468158";"0";"0.140000"
"23.416667";"5.165486";"0.581481";"1.288094";"269.208333";"0.431345";"0";"0.000000"
"41.166667";"0.872669";"0.807073";"1.533307";"337.291667";"0.531842";"0";"0.170000"
"23.708333";"7.888068";"0.480594";"1.252365";"248.125000";"0.359493";"0";"0.000000"
"29.416667";"3.144125";"0.623975";"1.346365";"303.708333";"0.458570";"0";"0.000000"
"38.750000";"1.194005";"0.807160";"1.514010";"344.416667";"0.527107";"0";"0.000000"
"29.916667";"2.371951";"0.696349";"1.391754";"307.291667";"0.479522";"0";"0.190000"
"26.125000";"3.292771";"0.637546";"1.264664";"301.416667";"0.501776";"0";"0.100000"
"29.541667";"1.505985";"0.683813";"1.211035";"325.250000";"0.578717";"0";"0.620000"
"20.500000";"11.854662";"0.410448";"1.185768";"208.750000";"0.289418";"0";"0.000000"
"32.666667";"1.877194";"0.687112";"1.360048";"325.500000";"0.507102";"0";"0.000000"
"22.500000";"9.205580";"0.439905";"1.223549";"229.250000";"0.336648";"0";"0.000000"
"38.041667";"1.803309";"0.785767";"1.616377";"326.875000";"0.461056";"0";"0.000000"
"22.916667";"7.015407";"0.520748";"1.238984";"246.333333";"0.375473";"0";"0.000000"
"28.916667";"2.528404";"0.637271";"1.327988";"293.041667";"0.499645";"0";"0.000000"
"13.666667";"20.156828";"0.249118";"0.880603";"153.958333";"0.253196";"0";"0.000000"
"31.375000";"2.166779";"0.707529";"1.370685";"320.666667";"0.482718";"0";"0.000000"
"26.708333";"4.077139";"0.587597";"1.307278";"285.500000";"0.435251";"0";"0.000000"
"37.666667";"1.757374";"0.787892";"1.589291";"328.541667";"0.471709";"0";"0.000000"
"25.958333";"4.859290";"0.580814";"1.299917";"275.833333";"0.422467";"0";"0.000000"
"36.833333";"1.622720";"0.770878";"1.547166";"334.000000";"0.467448";"0";"0.000000"
"31.666667";"1.959147";"0.690900";"1.371638";"305.000000";"0.510535";"0";"0.000000"
"31.875000";"1.882129";"0.701407";"1.354141";"319.458333";"0.494200";"0";"0.000000"
