entropy, bfr, shf, used, blocked, ratio
16.666667, 0.222646 , 0.862673 , 0.261364 , 0 , 0.00
16.750000, 0.223221 , 0.864922 , 0.260772 , 0 , 0.00
16.750000, 0.222178 , 0.862973 , 0.261600 , 0 , 0.00
16.750000, 0.222211 , 0.863631 , 0.262429 , 0 , 0.00
16.750000, 0.221611 , 0.861934 , 0.263021 , 0 , 0.00
16.833333, 0.220043 , 0.858782 , 0.263968 , 0 , 0.00
17.000000, 0.227777 , 0.872143 , 0.267756 , 0 , 0.00
17.083333, 0.231594 , 0.878753 , 0.263849 , 0 , 0.00
17.083333, 0.231972 , 0.879159 , 0.265033 , 0 , 0.00
17.083333, 0.230666 , 0.875947 , 0.265980 , 0 , 0.00
17.250000, 0.248837 , 0.904735 , 0.268821 , 0 , 0.00
17.333333, 0.251019 , 0.909264 , 0.271307 , 0 , 0.00
17.333333, 0.254798 , 0.914746 , 0.269768 , 0 , 0.00
17.333333, 0.254110 , 0.913023 , 0.270241 , 0 , 0.00
17.500000, 0.261806 , 0.928083 , 0.274029 , 0 , 0.00
17.416667, 0.261010 , 0.925861 , 0.274503 , 0 , 0.00
17.833333, 0.279744 , 0.967595 , 0.270833 , 0 , 0.00
17.833333, 0.279310 , 0.967240 , 0.271544 , 0 , 0.00
18.000000, 0.301022 , 0.998513 , 0.273911 , 0 , 0.00
18.000000, 0.300545 , 0.996816 , 0.274621 , 0 , 0.00
18.250000, 0.302910 , 1.002624 , 0.278172 , 0 , 0.00
18.666667, 0.305940 , 1.015250 , 0.275095 , 0 , 0.00
18.583333, 0.304413 , 1.010528 , 0.276989 , 0 , 0.00
18.583333, 0.303806 , 1.009652 , 0.277699 , 0 , 0.00
18.583333, 0.303020 , 1.007681 , 0.279356 , 0 , 0.00
18.583333, 0.301917 , 1.004654 , 0.280421 , 0 , 0.00
18.666667, 0.300019 , 1.011530 , 0.282197 , 0 , 0.00
18.750000, 0.305752 , 1.020865 , 0.284091 , 0 , 0.00
18.750000, 0.304464 , 1.017624 , 0.285275 , 0 , 0.00
18.875000, 0.307706 , 1.030073 , 0.281842 , 0 , 0.00
18.875000, 0.307375 , 1.028647 , 0.282197 , 0 , 0.00
18.958333, 0.306499 , 1.026491 , 0.282907 , 0 , 0.00
18.958333, 0.305291 , 1.025327 , 0.284801 , 0 , 0.00
19.000000, 0.305210 , 1.024797 , 0.284920 , 0 , 0.00
19.083333, 0.305061 , 1.025137 , 0.284920 , 0 , 0.00
19.083333, 0.304261 , 1.022457 , 0.285866 , 0 , 0.00
19.083333, 0.303335 , 1.020796 , 0.287287 , 0 , 0.00
19.166667, 0.320475 , 1.040703 , 0.288707 , 0 , 0.00
19.333333, 0.325250 , 1.053249 , 0.291667 , 0 , 0.00
19.416667, 0.324000 , 1.048432 , 0.293561 , 0 , 0.00
19.583333, 0.326444 , 1.056153 , 0.291312 , 0 , 0.00
19.666667, 0.328808 , 1.058930 , 0.294152 , 0 , 0.00
19.583333, 0.327576 , 1.056412 , 0.294744 , 0 , 0.00
19.583333, 0.327330 , 1.055556 , 0.294981 , 0 , 0.00
19.625000, 0.326978 , 1.054002 , 0.295455 , 0 , 0.00
19.541667, 0.326495 , 1.051184 , 0.296165 , 0 , 0.00
19.625000, 0.325202 , 1.048589 , 0.297112 , 0 , 0.00
19.625000, 0.324038 , 1.045598 , 0.298059 , 0 , 0.00
19.541667, 0.323685 , 1.043080 , 0.298651 , 0 , 0.00
19.708333, 0.329115 , 1.057266 , 0.294744 , 0 , 0.00
19.791667, 0.339418 , 1.069599 , 0.296165 , 0 , 0.00
19.791667, 0.338920 , 1.068882 , 0.297822 , 0 , 0.00
19.791667, 0.338737 , 1.068065 , 0.298059 , 0 , 0.00
19.958333, 0.348817 , 1.083723 , 0.299479 , 0 , 0.00
19.958333, 0.348134 , 1.081041 , 0.300308 , 0 , 0.00
19.958333, 0.347953 , 1.080281 , 0.300545 , 0 , 0.00
20.166667, 0.371111 , 1.108474 , 0.303741 , 0 , 0.00
19.916667, 0.370676 , 1.105862 , 0.304214 , 0 , 0.00
19.750000, 0.368923 , 1.098989 , 0.297940 , 0 , 0.00
19.750000, 0.368974 , 1.097638 , 0.299124 , 0 , 0.00
19.750000, 0.368135 , 1.093594 , 0.300308 , 0 , 0.00
19.833333, 0.371074 , 1.099160 , 0.300189 , 0 , 0.00
19.833333, 0.370444 , 1.098010 , 0.300900 , 0 , 0.00
19.666667, 0.368275 , 1.091354 , 0.302675 , 0 , 0.00
19.666667, 0.367093 , 1.086367 , 0.304332 , 0 , 0.00
19.666667, 0.366836 , 1.085697 , 0.304569 , 0 , 0.00
19.666667, 0.365441 , 1.084234 , 0.305516 , 0 , 0.00
19.500000, 0.363218 , 1.079231 , 0.307410 , 0 , 0.00
19.500000, 0.361268 , 1.076602 , 0.308830 , 0 , 0.00
19.916667, 0.366555 , 1.092836 , 0.305634 , 0 , 0.00
19.916667, 0.365494 , 1.088440 , 0.306818 , 0 , 0.00
19.750000, 0.366580 , 1.090548 , 0.305753 , 0 , 0.00
19.750000, 0.365503 , 1.087867 , 0.306581 , 0 , 0.00
19.666667, 0.364525 , 1.084975 , 0.307292 , 0 , 0.00
19.666667, 0.364265 , 1.084237 , 0.307528 , 0 , 0.00
19.583333, 0.363106 , 1.080450 , 0.308475 , 0 , 0.00
19.666667, 0.362720 , 1.079951 , 0.308830 , 0 , 0.00
19.666667, 0.362465 , 1.077881 , 0.309541 , 0 , 0.00
19.583333, 0.362188 , 1.076421 , 0.309896 , 0 , 0.00
19.583333, 0.361695 , 1.074326 , 0.310606 , 0 , 0.00
19.666667, 0.360644 , 1.071574 , 0.311790 , 0 , 0.00
19.666667, 0.358286 , 1.074182 , 0.313565 , 0 , 0.00
19.666667, 0.357532 , 1.071188 , 0.314276 , 0 , 0.00
19.666667, 0.357381 , 1.070362 , 0.314512 , 0 , 0.00
19.583333, 0.357304 , 1.069668 , 0.314631 , 0 , 0.00
19.875000, 0.374091 , 1.098473 , 0.313565 , 0 , 0.00
19.875000, 0.372169 , 1.093375 , 0.315459 , 0 , 0.00
19.958333, 0.371202 , 1.094177 , 0.317353 , 0 , 0.00
