"time";"entropy";"path_consecutiveness";"bfr";"msi";"slots";"blocked";"sumSlots";"sumBlockedSlots";"ratio"
19;3.47619;162.987426;0.029302;31.47619;7;" false ";54;0;0.0
15;3.47619;166.013354;0.027244;27.666667;6;" false ";51;0;0.0
18;3.47619;205.108487;0.02159;24.761905;2;" false ";25;0;0.0
19;3.52381;167.450279;0.037897;33.047619;6;" false ";43;0;0.0
18;3.52381;169.116084;0.037653;32.190476;3;" false ";38;0;0.0
14;3.52381;180.711163;0.027425;30.904762;3;" false ";45;0;0.0
10;3.52381;182.738776;0.02945;27.571429;8;" false ";55;0;0.0
14;3.52381;183.934821;0.027276;30.904762;1;" false ";44;0;0.0
19;3.52381;209.221177;0.015351;27.714286;5;" false ";51;0;0.0
15;3.55814;143.687041;0.034682;27.348837;4;" false ";40;0;0.0
15;3.55814;145.537975;0.033508;27.372093;8;" false ";44;0;0.0
11;3.571429;123.939368;0.033945;27.52381;2;" false ";47;0;0.0
16;3.571429;165.660145;0.026301;28.095238;5;" false ";44;0;0.0
19;3.619048;160.794782;0.041151;34.714286;6;" false ";44;0;0.0
15;3.651163;138.422763;0.035753;28.72093;8;" false ";43;0;0.0
17;3.666667;161.326263;0.027327;31.285714;2;" false ";42;0;0.0
17;3.666667;163.062887;0.029356;29.238095;1;" false ";40;0;0.0
19;3.666667;185.106227;0.023868;26.619048;5;" false ";32;0;0.0
19;3.666667;186.126673;0.023434;26.619048;3;" false ";32;0;0.0
19;3.666667;188.892255;0.022508;26.619048;7;" false ";33;0;0.0
15;3.666667;192.639764;0.020908;27.666667;2;" false ";49;0;0.0
10;3.714286;174.030529;0.030666;28.666667;5;" false ";52;0;0.0
13;3.714286;178.538379;0.025162;27.809524;5;" false ";42;0;0.0
17;3.761905;158.054537;0.026814;32.428571;7;" false ";53;0;0.0
18;3.761905;162.757334;0.030167;30.285714;5;" false ";36;0;0.0
18;3.809524;134.94004;0.037073;32.095238;3;" false ";45;0;0.0
15;3.809524;140.805373;0.034946;32.904762;3;" false ";34;0;0.0
14;3.809524;155.725447;0.03259;32.095238;3;" false ";46;0;0.0
18;3.809524;162.757334;0.029474;30.285714;5;" false ";40;0;0.0
14;3.809524;178.496024;0.026299;28.285714;1;" false ";42;0;0.0
19;3.809524;181.762879;0.019142;30.428571;8;" false ";50;0;0.0
20;3.857143;154.95525;0.032444;32.761905;1;" false ";47;0;0.0
17;3.857143;157.755919;0.026683;32.666667;3;" false ";53;0;0.0
19;3.857143;191.015345;0.025968;29.0;7;" false ";43;0;0.0
11;3.904762;154.329933;0.035349;30.47619;2;" false ";47;0;0.0
15;3.904762;164.992214;0.029758;30.190476;7;" false ";49;0;0.0
15;3.904762;171.625027;0.025976;32.380952;6;" false ";37;0;0.0
15;3.930233;121.894151;0.04101;32.395349;8;" false ";53;0;0.0
16;3.930233;122.993118;0.040869;32.488372;2;" false ";51;0;0.0
19;3.952381;142.115084;0.029349;34.952381;4;" false ";49;0;0.0
17;3.952381;151.280884;0.021018;21.333333;1;" false ";33;0;0.0
22;3.952381;172.261331;0.030989;34.619048;7;" false ";46;0;0.0
20;4.0;139.279415;0.052524;40.52381;8;" false ";55;0;0.0
16;4.0;139.736368;0.03573;34.761905;8;" false ";37;0;0.0
19;4.0;158.311392;0.030448;32.47619;8;" false ";43;0;0.0
19;4.047619;139.4667;0.03093;34.761905;3;" false ";53;0;0.0
21;4.047619;153.209017;0.033988;34.619048;4;" false ";50;0;0.0
20;4.047619;172.861038;0.029883;31.761905;6;" false ";50;0;0.0
16;4.047619;189.02157;0.027979;32.428571;3;" false ";42;0;0.0
16;4.095238;138.089558;0.036475;35.857143;2;" false ";33;0;0.0
22;4.095238;150.350621;0.023082;33.190476;7;" false ";44;0;0.0
19;4.095238;166.657064;0.031671;33.761905;1;" false ";43;0;0.0
20;4.142857;129.784253;0.034136;32.142857;4;" false ";51;0;0.0
20;4.142857;130.0581;0.034129;31.952381;4;" false ";49;0;0.0
18;4.142857;142.644693;0.022129;22.761905;2;" false ";30;0;0.0
21;4.142857;153.040456;0.033439;34.619048;2;" false ";46;0;0.0
23;4.142857;161.012666;0.033992;36.571429;7;" false ";48;0;0.0
16;4.142857;187.41099;0.030168;33.714286;4;" false ";40;0;0.0
21;4.190476;133.087576;0.05537;42.190476;4;" false ";50;0;0.0
18;4.190476;141.398723;0.036563;38.761905;4;" false ";47;0;0.0
21;4.190476;149.954508;0.023638;32.857143;2;" false ";46;0;0.0
16;4.190476;162.624392;0.030892;34.714286;2;" false ";38;0;0.0
20;4.238095;126.810639;0.034767;33.0;7;" false ";51;0;0.0
20;4.238095;142.671332;0.033354;38.190476;7;" false ";45;0;0.0
16;4.238095;148.723969;0.032799;38.190476;7;" false ";49;0;0.0
22;4.238095;163.963197;0.034154;34.619048;6;" false ";52;0;0.0
18;4.255814;116.68279;0.051614;39.581395;2;" false ";57;0;0.0
14;4.285714;114.992177;0.053236;38.857143;5;" false ";42;0;0.0
15;4.285714;146.273841;0.04321;36.47619;3;" false ";52;0;0.0
18;4.333333;154.2459;0.039919;37.333333;6;" false ";40;0;0.0
25;4.333333;165.70334;0.033172;36.142857;4;" false ";49;0;0.0
18;4.348837;111.97499;0.055525;41.232558;3;" false ";52;0;0.0
18;4.380952;136.693332;0.038169;40.52381;3;" false ";45;0;0.0
24;4.380952;142.902392;0.029586;36.47619;1;" false ";42;0;0.0
17;4.380952;152.807937;0.042312;37.333333;2;" false ";45;0;0.0
21;4.428571;129.262529;0.054678;43.52381;7;" false ";48;0;0.0
17;4.428571;129.729662;0.039561;42.0;5;" false ";54;0;0.0
20;4.428571;138.693459;0.037401;41.333333;7;" false ";40;0;0.0
26;4.428571;153.583102;0.036557;38.333333;6;" false ";49;0;0.0
20;4.47619;125.248535;0.034451;33.380952;2;" false ";44;0;0.0
20;4.47619;154.457946;0.038281;37.714286;8;" false ";42;0;0.0
17;4.52381;127.148707;0.040908;43.619048;4;" false ";55;0;0.0
20;4.52381;133.372362;0.042072;43.190476;4;" false ";45;0;0.0
20;4.52381;133.994694;0.042923;43.0;8;" false ";48;0;0.0
27;4.52381;148.079099;0.037972;39.809524;2;" false ";49;0;0.0
25;4.52381;161.315007;0.029813;38.809524;1;" false ";53;0;0.0
16;4.571429;104.637529;0.050463;38.52381;3;" false ";40;0;0.0
16;4.571429;107.338609;0.050194;38.52381;1;" false ";40;0;0.0
16;4.571429;108.307506;0.052448;38.0;2;" false ";42;0;0.0
24;4.571429;139.410425;0.030088;37.190476;4;" false ";42;0;0.0
21;4.571429;139.583159;0.03957;43.380952;6;" false ";36;0;0.0
13;4.571429;150.303595;0.039644;38.285714;5;" false ";52;0;0.0
21;4.666667;123.338164;0.036591;35.52381;3;" false ";40;0;0.0
21;4.666667;137.305009;0.036021;36.0;3;" false ";37;0;0.0
20;4.666667;144.66405;0.03481;37.285714;5;" false ";50;0;0.0
18;4.714286;119.766604;0.04474;45.666667;1;" false ";50;0;0.0
19;4.714286;119.785953;0.042808;47.0;7;" false ";55;0;0.0
21;4.761905;132.066515;0.042153;42.857143;5;" false ";54;0;0.0
23;4.761905;135.811364;0.036659;38.619048;4;" false ";46;0;0.0
21;4.761905;137.539752;0.042042;41.238095;2;" false ";50;0;0.0
23;4.809524;118.068841;0.060272;46.52381;6;" false ";49;0;0.0
21;4.809524;121.67959;0.047887;46.380952;3;" false ";47;0;0.0
21;4.857143;138.585322;0.037251;39.095238;2;" false ";40;0;0.0
22;4.904762;116.307818;0.049169;47.428571;3;" false ";41;0;0.0
22;4.904762;116.470815;0.049665;47.428571;6;" false ";45;0;0.0
20;4.904762;121.902535;0.033825;31.0;4;" false ";46;0;0.0
26;4.904762;138.020529;0.03206;41.761905;5;" false ";48;0;0.0
21;4.930233;98.385298;0.064931;45.930233;8;" false ";45;0;0.0
22;4.952381;126.133026;0.043474;46.857143;3;" false ";45;0;0.0
23;4.952381;129.425269;0.040826;40.952381;4;" false ";44;0;0.0
20;5.0;108.295498;0.04775;50.952381;7;" false ";48;0;0.0
25;5.0;110.587934;0.063381;50.238095;2;" false ";49;0;0.0
23;5.047619;125.973612;0.0421;46.857143;5;" false ";46;0;0.0
25;5.047619;126.005125;0.042328;48.666667;8;" false ";55;0;0.0
19;5.142857;86.863321;0.063437;42.380952;8;" false ";47;0;0.0
17;5.142857;95.053108;0.0564;42.571429;8;" false ";46;0;0.0
24;5.142857;114.252855;0.044259;46.714286;6;" false ";36;0;0.0
26;5.142857;119.78813;0.045544;50.714286;5;" false ";56;0;0.0
23;5.142857;131.357754;0.039738;42.0;6;" false ";50;0;0.0
27;5.190476;103.47556;0.065026;53.380952;3;" false ";38;0;0.0
23;5.190476;104.387607;0.051718;48.809524;3;" false ";36;0;0.0
23;5.190476;111.703077;0.051712;48.904762;1;" false ";33;0;0.0
22;5.238095;89.882874;0.058868;42.904762;7;" false ";54;0;0.0
25;5.238095;127.501424;0.04246;44.52381;3;" false ";55;0;0.0
21;5.238095;135.995973;0.044223;45.571429;5;" false ";54;0;0.0
22;5.285714;105.392434;0.054764;56.333333;5;" false ";45;0;0.0
23;5.285714;118.580278;0.04031;35.47619;3;" false ";31;0;0.0
24;5.325581;90.651653;0.071564;50.395349;5;" false ";42;0;0.0
21;5.333333;87.294385;0.061799;43.285714;2;" false ";54;0;0.0
29;5.333333;104.827582;0.058335;49.428571;4;" false ";43;0;0.0
24;5.333333;110.983415;0.050192;49.52381;7;" false ";38;0;0.0
17;5.333333;129.72115;0.043157;39.428571;2;" false ";34;0;0.0
22;5.333333;132.256175;0.048889;48.190476;3;" false ";52;0;0.0
24;5.348837;89.753309;0.071896;50.395349;7;" false ";45;0;0.0
23;5.348837;89.861498;0.069427;49.023256;1;" false ";43;0;0.0
22;5.348837;90.313136;0.069826;48.813953;1;" false ";48;0;0.0
24;5.380952;110.211097;0.050664;50.285714;7;" false ";39;0;0.0
27;5.380952;122.112289;0.046854;48.952381;5;" false ";53;0;0.0
27;5.380952;122.153224;0.047474;48.952381;2;" false ";54;0;0.0
28;5.380952;128.102705;0.035459;46.809524;2;" false ";53;0;0.0
27;5.428571;94.942821;0.062232;49.047619;6;" false ";44;0;0.0
32;5.428571;102.118827;0.058824;51.571429;8;" false ";49;0;0.0
