"entropy";"pc";"bfr";"shf";"msi";"used";"demandsq";"lockss";"ratio"
"42.953488";"0.789138";"0.820195";"1.476026";"342.162791";"0.559461";"4";"1";"0.260000"
"4.083333";"140.317304";"0.051233";"0.267427";"41.916667";"0.073864";"5";"0";"0.000000"
"29.186047";"3.228540";"0.714311";"1.389610";"314.209302";"0.451903";"6";"2";"0.430000"
"30.953488";"3.455195";"0.738289";"1.546860";"314.906977";"0.395613";"5";"1";"0.130000"
"37.809524";"0.538816";"0.796617";"1.244132";"344.095238";"0.640557";"5";"1";"0.280000"
"42.500000";"0.620038";"0.831901";"1.415318";"343.208333";"0.592803";"3";"0";"0.270000"
"26.208333";"2.285034";"0.716447";"1.213563";"322.500000";"0.539654";"6";"2";"0.210000"
"31.583333";"1.316589";"0.724312";"1.287687";"337.166667";"0.550663";"7";"0";"0.040000"
"7.083333";"94.458570";"0.085929";"0.429612";"71.416667";"0.130208";"7";"0";"0.000000"
"5.458333";"87.414187";"0.061037";"0.310868";"49.166667";"0.086174";"7";"0";"0.000000"
"46.708333";"0.145128";"0.842793";"1.151505";"348.958333";"0.712831";"8";"4";"0.400000"
"31.958333";"1.208446";"0.771985";"1.337795";"332.500000";"0.551728";"3";"0";"0.010000"
"8.416667";"65.001237";"0.084091";"0.442982";"73.083333";"0.137074";"2";"0";"0.000000"
"7.625000";"75.903268";"0.118707";"0.528195";"81.791667";"0.129025";"3";"0";"0.000000"
"32.047619";"1.594194";"0.738670";"1.277849";"320.190476";"0.572646";"11";"0";"0.010000"
"30.666667";"1.208820";"0.766974";"1.159552";"336.857143";"0.629329";"4";"0";"0.010000"
"30.000000";"2.025042";"0.728080";"1.346427";"332.523810";"0.541937";"2";"0";"0.010000"
"32.291667";"1.675780";"0.731518";"1.353743";"320.958333";"0.531487";"2";"1";"0.100000"
"4.166667";"142.437978";"0.046293";"0.253404";"40.458333";"0.074455";"5";"0";"0.000000"
"30.238095";"1.220096";"0.756555";"1.155602";"336.095238";"0.628653";"9";"1";"0.010000"
"33.190476";"0.590273";"0.790542";"1.146348";"342.809524";"0.664232";"7";"2";"0.180000"
"38.325581";"1.107187";"0.782227";"1.444533";"341.465116";"0.537526";"10";"3";"0.380000"
"43.375000";"0.178448";"0.831745";"1.110364";"348.375000";"0.711766";"4";"2";"0.460000"
"7.125000";"73.407329";"0.083392";"0.425454";"68.666667";"0.124408";"5";"0";"0.000000"
"7.625000";"67.290879";"0.096946";"0.469551";"78.750000";"0.142637";"1";"0";"0.000000"
"37.790698";"1.351754";"0.792214";"1.502764";"336.720930";"0.505550";"2";"0";"0.190000"
"35.279070";"1.843841";"0.764556";"1.441679";"334.558140";"0.500925";"12";"2";"0.230000"
"34.619048";"0.523256";"0.769371";"1.146553";"344.904762";"0.662879";"4";"2";"0.460000"
"32.250000";"1.580552";"0.728228";"1.295776";"331.083333";"0.556937";"2";"0";"0.010000"
"32.458333";"1.166260";"0.755069";"1.251088";"334.916667";"0.578007";"5";"1";"0.150000"
"6.416667";"70.707688";"0.102054";"0.443099";"68.500000";"0.105587";"6";"0";"0.000000"
"6.000000";"96.493556";"0.045034";"0.274414";"44.458333";"0.088423";"4";"0";"0.000000"
"43.952381";"0.214425";"0.834676";"1.134078";"347.380952";"0.710904";"7";"2";"0.400000"
"48.750000";"0.362937";"0.844179";"1.362331";"347.250000";"0.637902";"3";"0";"0.430000"
"31.952381";"1.661785";"0.711951";"1.261045";"320.666667";"0.565476";"3";"0";"0.010000"
"31.857143";"0.605236";"0.770342";"1.134868";"343.809524";"0.658956";"5";"2";"0.010000"
"42.046512";"0.748898";"0.826401";"1.439038";"344.674419";"0.572740";"7";"3";"0.430000"
"31.714286";"1.851505";"0.706760";"1.292878";"319.380952";"0.550460";"6";"0";"0.010000"
"48.162791";"0.492563";"0.826137";"1.417296";"343.000000";"0.608351";"10";"2";"0.310000"
"8.583333";"84.428240";"0.092043";"0.488041";"84.041667";"0.161813";"5";"0";"0.000000"
"4.041667";"157.283421";"0.030811";"0.195610";"32.458333";"0.066051";"3";"0";"0.000000"
"36.581395";"1.856468";"0.768867";"1.494730";"331.976744";"0.487513";"10";"1";"0.190000"
"45.791667";"0.295132";"0.816975";"1.269487";"346.125000";"0.656250";"6";"0";"0.210000"
"46.416667";"0.116028";"0.851254";"1.103196";"347.750000";"0.728220";"7";"3";"0.630000"
"27.000000";"2.687566";"0.670277";"1.288455";"314.500000";"0.495739";"6";"0";"0.010000"
"28.375000";"3.639290";"0.680563";"1.375907";"308.333333";"0.450284";"1";"0";"0.010000"
"32.238095";"1.659249";"0.732155";"1.290606";"316.142857";"0.561553";"5";"0";"0.010000"
"37.441860";"1.225296";"0.776493";"1.353215";"342.255814";"0.550013";"6";"3";"0.430000"
"33.627907";"2.839485";"0.743210";"1.492638";"316.720930";"0.444767";"8";"1";"0.130000"
"34.714286";"0.423627";"0.775350";"1.109111";"345.904762";"0.685335";"3";"1";"0.320000"
"30.047619";"0.618334";"0.721074";"1.026587";"342.190476";"0.687229";"5";"2";"0.460000"
"32.333333";"1.153331";"0.753494";"1.273627";"339.958333";"0.579782";"9";"2";"0.160000"
"27.625000";"1.860613";"0.711002";"1.250655";"328.083333";"0.556581";"8";"0";"0.010000"
