"entropy";"path_consecutiveness";"bfr";"msi";"blocked";"ratio"
"47.619048";"0.330849";"0.839443";"347.095238";"1";"0.510000"
"49.250000";"0.225198";"0.854515";"348.500000";"1";"0.650000"
"55.238095";"0.122002";"0.882995";"349.619048";"1";"0.580000"
"56.047619";"0.137678";"0.867333";"349.380952";"1";"0.550000"
"49.125000";"0.224234";"0.849562";"348.625000";"1";"0.690000"
"47.625000";"0.436416";"0.842403";"345.541667";"1";"0.530000"
"50.761905";"0.221070";"0.847377";"348.000000";"1";"0.620000"
"39.666667";"0.118880";"0.798287";"349.380952";"1";"0.500000"
"41.041667";"0.451748";"0.808591";"342.958333";"1";"0.510000"
"54.904762";"0.129387";"0.872353";"349.333333";"1";"0.630000"
"50.708333";"0.216950";"0.849455";"347.750000";"1";"0.570000"
"50.750000";"0.229038";"0.848146";"345.666667";"1";"0.630000"
"45.250000";"0.219893";"0.846125";"347.000000";"1";"0.660000"
"48.416667";"0.240188";"0.848877";"346.041667";"1";"0.510000"
"54.904762";"0.108639";"0.869755";"348.476190";"1";"0.660000"
"53.666667";"0.199290";"0.857323";"348.761905";"1";"0.630000"
"53.708333";"0.167834";"0.861927";"346.666667";"1";"0.640000"
"45.791667";"0.224752";"0.812033";"347.791667";"1";"0.580000"
"52.904762";"0.114770";"0.869167";"348.190476";"1";"0.620000"
"50.291667";"0.211198";"0.841652";"347.958333";"1";"0.660000"
"54.238095";"0.158470";"0.877550";"350.190476";"1";"0.510000"
"57.291667";"0.219351";"0.879038";"348.291667";"1";"0.530000"
"51.375000";"0.304341";"0.857028";"344.208333";"1";"0.650000"
"49.604651";"0.702306";"0.836647";"344.790698";"1";"0.660000"
"48.541667";"0.270340";"0.858401";"347.625000";"1";"0.680000"
"33.125000";"1.166134";"0.717553";"328.583333";"0";"0.510000"
"51.761905";"0.305414";"0.851304";"346.761905";"1";"0.530000"
"54.208333";"0.253392";"0.870059";"346.916667";"1";"0.640000"
"45.333333";"0.182820";"0.835311";"348.458333";"1";"0.550000"
"44.720930";"1.128041";"0.809247";"335.767442";"1";"0.560000"
"42.142857";"0.511727";"0.815908";"345.000000";"1";"0.670000"
"45.523810";"0.186230";"0.838395";"347.952381";"1";"0.500000"
"51.952381";"0.267357";"0.859270";"346.619048";"1";"0.700000"
"49.857143";"0.099512";"0.848557";"349.571429";"1";"0.515000"
"50.860465";"0.571867";"0.843770";"346.093023";"1";"0.650000"
"47.625000";"0.362843";"0.851585";"347.666667";"1";"0.520000"
"53.916667";"0.250157";"0.865847";"347.000000";"1";"0.620000"
"54.125000";"0.193944";"0.861560";"345.625000";"1";"0.680000"
"48.857143";"0.265135";"0.836292";"347.428571";"1";"0.500000"
"53.833333";"0.213193";"0.859357";"347.291667";"1";"0.610000"
"44.744186";"1.168464";"0.808707";"336.023256";"1";"0.500000"
"53.238095";"0.127548";"0.866017";"348.523810";"1";"0.650000"
"56.083333";"0.232700";"0.869828";"347.125000";"1";"0.680000"
"55.916667";"0.231346";"0.869805";"349.000000";"1";"0.530000"
"42.651163";"1.119540";"0.815985";"332.790698";"1";"0.590000"
"42.761905";"0.411914";"0.840968";"346.619048";"1";"0.500000"
"43.767442";"0.989536";"0.809913";"342.604651";"1";"0.640000"
"53.809524";"0.235757";"0.861141";"350.333333";"1";"0.670000"
"50.142857";"0.210348";"0.855341";"349.619048";"1";"0.510000"
"49.708333";"0.229533";"0.850572";"347.500000";"1";"0.570000"
"45.162791";"1.032928";"0.821384";"345.697674";"1";"0.670000"
"48.333333";"0.167322";"0.863476";"348.047619";"1";"0.585000"
"52.142857";"0.161056";"0.845436";"349.761905";"1";"0.630000"
"48.142857";"0.171734";"0.848364";"345.476190";"1";"0.556000"
"41.953488";"1.472188";"0.832013";"337.767442";"1";"0.650000"
"51.571429";"0.115937";"0.853559";"348.523810";"1";"0.540000"
"55.000000";"0.168937";"0.834180";"348.095238";"1";"0.630000"
"44.428571";"0.272003";"0.848572";"347.571429";"1";"0.586000"
"46.095238";"0.084524";"0.851090";"348.714286";"1";"0.578000"
"49.571429";"0.248833";"0.847999";"349.904762";"1";"0.500000"
"49.047619";"0.185352";"0.843131";"348.000000";"1";"0.532000"
"51.904762";"0.166421";"0.859322";"349.476190";"1";"0.680000"
"44.166667";"0.347843";"0.832598";"341.250000";"1";"0.640000"
"53.666667";"0.311120";"0.859278";"349.208333";"1";"0.500000"
"41.906977";"1.242281";"0.828622";"340.511628";"1";"0.511000"
"57.375000";"0.173960";"0.879649";"348.916667";"1";"0.500000"
"44.333333";"0.230683";"0.839412";"347.333333";"1";"0.660000"
"53.041667";"0.275987";"0.860960";"347.625000";"1";"0.610000"
"51.476190";"0.164960";"0.850377";"347.714286";"1";"0.620000"
"49.500000";"0.231628";"0.839400";"345.166667";"1";"0.610000"
"42.418605";"1.419380";"0.803681";"332.372093";"1";"0.530000"
"50.523810";"0.260057";"0.853309";"347.380952";"1";"0.680000"
"54.916667";"0.223760";"0.868834";"346.750000";"1";"0.700000"
"57.083333";"0.315960";"0.871821";"347.958333";"1";"0.570000"
"44.857143";"0.453517";"0.833930";"346.238095";"1";"0.590000"
"48.714286";"0.463310";"0.848734";"347.238095";"1";"0.510000"
"41.790698";"0.836916";"0.809966";"340.209302";"1";"0.520000"
"35.916667";"0.878203";"0.753254";"331.708333";"1";"0.570000"
"49.958333";"0.367348";"0.860643";"344.000000";"1";"0.550000"
"56.476190";"0.273974";"0.869672";"346.952381";"1";"0.660000"
"40.142857";"0.468736";"0.794561";"344.809524";"1";"0.500000"
"44.813953";"1.017248";"0.815558";"338.023256";"1";"0.500000"
"36.666667";"0.338105";"0.790823";"346.000000";"1";"0.680000"
"36.458333";"0.848774";"0.775413";"339.416667";"1";"0.530000"
"47.083333";"0.580493";"0.844344";"346.625000";"1";"0.520000"
"45.720930";"0.863396";"0.826537";"346.348837";"1";"0.690000"
"56.809524";"0.149320";"0.860672";"349.047619";"1";"0.510000"
"36.000000";"0.857680";"0.750913";"331.708333";"1";"0.520000"
"51.541667";"0.292891";"0.862794";"348.458333";"1";"0.620000"
"57.000000";"0.175207";"0.877189";"348.916667";"1";"0.640000"
"51.904762";"0.307413";"0.865195";"347.047619";"1";"0.610000"
"55.142857";"0.167660";"0.876898";"349.619048";"1";"0.610000"
"56.666667";"0.286403";"0.870173";"346.952381";"1";"0.590000"
"48.476190";"0.468320";"0.835940";"343.476190";"1";"0.580000"
"40.720930";"1.556852";"0.803111";"335.651163";"1";"0.500000"
"52.541667";"0.252566";"0.871981";"345.750000";"1";"0.640000"
"43.761905";"0.093951";"0.831487";"349.619048";"1";"0.574000"
"55.714286";"0.116952";"0.863148";"347.857143";"1";"0.550000"
"55.285714";"0.209853";"0.866992";"348.571429";"1";"0.500000"
"54.041667";"0.126413";"0.856809";"349.375000";"1";"0.510000"
"36.208333";"1.166716";"0.743933";"327.166667";"1";"0.690000"
"50.458333";"0.279912";"0.857741";"347.625000";"1";"0.530000"
"51.952381";"0.160680";"0.858507";"349.476190";"0";"0.540000"
"43.619048";"0.282108";"0.847379";"347.476190";"1";"0.553000"
"36.930233";"2.140533";"0.760684";"332.511628";"1";"0.670000"
"48.285714";"0.330910";"0.845540";"346.047619";"1";"0.520000"
"52.857143";"0.149502";"0.864393";"349.619048";"1";"0.530000"
"43.708333";"0.363099";"0.833877";"344.500000";"1";"0.570000"
"39.285714";"0.136827";"0.794548";"350.476190";"0";"0.500000"
"45.348837";"1.266370";"0.806292";"334.023256";"1";"0.570000"
"55.875000";"0.255442";"0.862438";"347.541667";"1";"0.570000"
"48.190476";"0.336027";"0.840351";"347.190476";"1";"0.690000"
"53.791667";"0.271916";"0.851210";"348.291667";"1";"0.700000"
"48.791667";"0.206226";"0.839808";"348.458333";"1";"0.520000"
"51.541667";"0.172369";"0.856724";"347.666667";"1";"0.600000"
"51.333333";"0.279004";"0.858983";"346.625000";"1";"0.570000"
"51.095238";"0.242192";"0.854875";"347.380952";"1";"0.690000"
"46.348837";"0.822342";"0.829474";"343.813953";"1";"0.550000"
"49.958333";"0.273000";"0.838203";"346.875000";"1";"0.620000"
"42.302326";"1.118221";"0.820050";"333.674419";"0";"0.590000"
"47.625000";"0.438123";"0.842865";"345.541667";"1";"0.500000"
"50.000000";"0.817285";"0.833629";"342.651163";"1";"0.525000"
"51.291667";"0.234442";"0.835838";"347.166667";"1";"0.650000"
"58.619048";"0.221327";"0.865956";"349.095238";"1";"0.630000"
"44.095238";"0.290246";"0.811397";"343.952381";"1";"0.640000"
"51.714286";"0.155630";"0.859463";"349.476190";"1";"0.600000"
"55.047619";"0.105533";"0.868364";"348.476190";"1";"0.660000"
"54.875000";"0.160478";"0.867988";"348.041667";"1";"0.570000"
"53.142857";"0.224382";"0.858378";"349.809524";"1";"0.540000"
"54.047619";"0.160038";"0.848839";"349.333333";"1";"0.680000"
"49.500000";"0.410057";"0.854043";"345.958333";"1";"0.500000"
"55.125000";"0.226921";"0.873528";"348.666667";"1";"0.550000"
"55.291667";"0.189694";"0.864780";"347.291667";"1";"0.640000"
"51.619048";"0.183972";"0.854598";"349.095238";"1";"0.660000"
"46.375000";"0.176526";"0.831890";"348.458333";"1";"0.590000"
"47.625000";"0.300828";"0.848549";"343.958333";"1";"0.700000"
"54.952381";"0.058753";"0.878927";"348.619048";"1";"0.533000"
"46.809524";"0.406674";"0.849198";"347.476190";"1";"0.570000"
"49.116279";"0.745527";"0.828518";"342.116279";"1";"0.610000"
"49.333333";"0.223095";"0.860140";"348.500000";"1";"0.510000"
"54.875000";"0.293758";"0.854692";"347.958333";"1";"0.520000"
"36.375000";"1.002641";"0.787258";"338.333333";"1";"0.680000"
"42.523810";"0.211408";"0.851990";"346.809524";"1";"0.550000"
"52.142857";"0.192548";"0.860401";"347.428571";"1";"0.510000"
"51.380952";"0.265346";"0.855845";"347.095238";"1";"0.570000"
"39.583333";"0.618571";"0.801493";"339.625000";"1";"0.600000"
"45.571429";"0.518496";"0.836382";"342.619048";"1";"0.509000"
"50.208333";"0.309532";"0.839983";"349.208333";"1";"0.550000"
"42.976744";"1.330625";"0.802190";"336.116279";"1";"0.500000"
"43.883721";"1.313950";"0.795249";"334.581395";"1";"0.580000"
"54.041667";"0.266782";"0.867405";"347.375000";"1";"0.600000"
"42.250000";"0.366498";"0.832695";"344.333333";"1";"0.640000"
"54.875000";"0.300948";"0.853800";"347.958333";"1";"0.590000"
"53.809524";"0.093342";"0.863154";"349.857143";"1";"0.526000"
"32.302326";"1.949772";"0.748045";"327.651163";"1";"0.610000"
"41.857143";"0.516032";"0.815856";"345.000000";"1";"0.560000"
"56.047619";"0.153297";"0.862740";"347.571429";"1";"0.540000"
"51.000000";"0.290736";"0.856479";"348.666667";"1";"0.650000"
"56.333333";"0.166447";"0.852390";"347.238095";"1";"0.500000"
"42.418605";"1.461850";"0.792005";"335.279070";"1";"0.580000"
"52.791667";"0.244102";"0.857116";"347.625000";"1";"0.520000"
"50.333333";"0.208153";"0.852823";"346.166667";"1";"0.640000"
"47.047619";"0.497489";"0.814278";"345.619048";"1";"0.610000"
"54.083333";"0.252718";"0.871652";"348.375000";"1";"0.500000"
"52.428571";"0.267539";"0.844792";"349.809524";"1";"0.610000"
"43.708333";"0.727816";"0.830297";"340.083333";"0";"0.540000"
"47.952381";"0.169113";"0.852353";"349.571429";"1";"0.529000"
"54.952381";"0.218052";"0.838883";"348.809524";"1";"0.640000"
"52.708333";"0.260898";"0.858163";"347.583333";"1";"0.610000"
"48.571429";"0.367001";"0.845442";"347.095238";"1";"0.560000"
"50.541667";"0.267040";"0.836268";"345.833333";"1";"0.670000"
"49.875000";"0.223559";"0.842332";"347.958333";"1";"0.610000"
"49.761905";"0.377234";"0.854756";"346.142857";"1";"0.650000"
"49.476190";"0.266201";"0.835055";"347.428571";"1";"0.580000"
"50.291667";"0.247006";"0.844616";"347.958333";"1";"0.640000"
"45.744186";"0.875092";"0.828786";"346.348837";"1";"0.660000"
"45.069767";"1.100158";"0.831662";"340.837209";"1";"0.537000"
"54.523810";"0.235872";"0.866365";"348.571429";"1";"0.580000"
"52.833333";"0.206999";"0.860600";"346.916667";"1";"0.700000"
"52.714286";"0.126809";"0.864116";"348.190476";"1";"0.630000"
"43.285714";"0.336827";"0.830993";"347.809524";"1";"0.670000"
"53.125000";"0.262041";"0.861610";"347.375000";"1";"0.690000"
"41.666667";"0.481495";"0.817061";"345.523810";"1";"0.540000"
"46.904762";"0.235690";"0.850343";"348.666667";"1";"0.595000"
"41.428571";"0.383236";"0.810120";"343.476190";"1";"0.500000"
"49.750000";"0.214715";"0.850652";"348.708333";"1";"0.570000"
"52.000000";"0.262714";"0.844448";"345.958333";"0";"0.510000"
"44.333333";"0.383899";"0.822585";"345.333333";"1";"0.630000"
"50.000000";"0.284032";"0.841302";"347.095238";"1";"0.630000"
"53.571429";"0.212894";"0.862717";"348.952381";"1";"0.620000"
"53.285714";"0.123950";"0.852188";"349.047619";"1";"0.570000"
"41.166667";"1.085623";"0.813832";"343.000000";"1";"0.560000"
"49.142857";"0.186463";"0.850491";"345.761905";"1";"0.680000"
"49.833333";"0.246796";"0.844824";"346.583333";"1";"0.500000"
"49.583333";"0.248907";"0.841470";"345.125000";"1";"0.620000"
"53.000000";"0.240935";"0.856285";"349.571429";"1";"0.500000"
"55.333333";"0.186515";"0.867276";"349.333333";"1";"0.550000"
"52.523810";"0.187372";"0.875504";"349.380952";"1";"0.640000"
"52.416667";"0.196683";"0.860078";"347.333333";"1";"0.670000"
"53.238095";"0.328307";"0.849805";"346.761905";"0";"0.510000"
"54.958333";"0.210503";"0.871339";"348.666667";"1";"0.550000"
"49.952381";"0.283003";"0.846658";"344.142857";"1";"0.520000"
"42.458333";"0.555326";"0.800957";"339.416667";"1";"0.670000"
"55.333333";"0.243433";"0.866909";"349.000000";"1";"0.610000"
"42.142857";"0.291724";"0.817765";"346.619048";"1";"0.547000"
"48.000000";"0.325081";"0.836729";"345.416667";"1";"0.580000"
"54.791667";"0.291686";"0.858446";"347.500000";"1";"0.530000"
